x=1066, y=985, w=4, h=4
x=1031, y=985, w=5, h=4
x=955, y=985, w=20, h=14
x=971, y=992, w=4, h=6
x=928, y=985, w=6, h=6
x=672, y=985, w=6, h=8
x=656, y=985, w=11, h=4
x=605, y=985, w=5, h=4
x=606, y=985, w=3, h=4
x=573, y=985, w=8, h=14
x=1167, y=984, w=11, h=12
x=1171, y=987, w=5, h=5
x=1068, y=984, w=13, h=9
x=481, y=984, w=12, h=1
x=1253, y=983, w=5, h=8
x=1079, y=983, w=6, h=7
x=1043, y=983, w=10, h=10
x=977, y=983, w=5, h=4
x=978, y=983, w=3, h=4
x=513, y=983, w=5, h=3
x=448, y=983, w=14, h=6
x=421, y=983, w=8, h=7
x=422, y=984, w=4, h=5
x=271, y=983, w=8, h=6
x=181, y=983, w=6, h=4
x=1121, y=982, w=6, h=4
x=1116, y=982, w=15, h=16
x=1123, y=988, w=7, h=8
x=1035, y=982, w=4, h=10
x=826, y=982, w=34, h=13
x=836, y=987, w=4, h=4
x=826, y=987, w=6, h=3
x=853, y=984, w=7, h=4
x=828, y=982, w=3, h=6
x=781, y=982, w=6, h=3
x=704, y=982, w=7, h=6
x=533, y=982, w=4, h=5
x=471, y=982, w=6, h=4
x=404, y=982, w=10, h=9
x=253, y=982, w=1, h=1
x=251, y=982, w=2, h=3
x=1016, y=981, w=10, h=10
x=1017, y=983, w=3, h=5
x=1016, y=981, w=3, h=4
x=713, y=981, w=4, h=7
x=478, y=981, w=4, h=4
x=370, y=981, w=14, h=6
x=287, y=981, w=5, h=4
x=43, y=981, w=3, h=5
x=43, y=982, w=3, h=3
x=1245, y=980, w=4, h=3
x=1235, y=980, w=9, h=5
x=1182, y=980, w=13, h=14
x=1072, y=980, w=7, h=7
x=947, y=980, w=4, h=8
x=364, y=980, w=6, h=4
x=365, y=980, w=5, h=3
x=305, y=980, w=7, h=6
x=296, y=980, w=3, h=5
x=296, y=980, w=3, h=5
x=155, y=980, w=19, h=12
x=164, y=985, w=9, h=7
x=123, y=980, w=20, h=11
x=134, y=987, w=6, h=4
x=1294, y=979, w=4, h=5
x=1254, y=979, w=6, h=4
x=1176, y=979, w=1, h=1
x=1047, y=979, w=39, h=22
x=1059, y=989, w=17, h=10
x=847, y=979, w=3, h=4
x=805, y=979, w=20, h=18
x=817, y=993, w=5, h=4
x=396, y=979, w=8, h=12
x=360, y=979, w=4, h=4
x=340, y=979, w=5, h=6
x=341, y=980, w=3, h=4
x=1303, y=978, w=26, h=9
x=1304, y=982, w=7, h=5
x=1149, y=978, w=15, h=12
x=1130, y=978, w=7, h=6
x=1130, y=978, w=5, h=6
x=949, y=978, w=3, h=4
x=923, y=978, w=13, h=5
x=801, y=978, w=8, h=18
x=680, y=978, w=6, h=6
x=371, y=978, w=13, h=4
x=255, y=978, w=10, h=11
x=1309, y=977, w=14, h=7
x=1208, y=977, w=30, h=13
x=1041, y=977, w=5, h=4
x=997, y=977, w=10, h=7
x=862, y=977, w=6, h=9
x=801, y=977, w=2, h=7
x=666, y=977, w=7, h=4
x=624, y=977, w=2, h=5
x=538, y=977, w=10, h=4
x=512, y=977, w=6, h=5
x=512, y=978, w=4, h=3
x=18, y=977, w=11, h=5
x=1235, y=976, w=8, h=6
x=1194, y=976, w=20, h=25
x=1199, y=984, w=4, h=4
x=1200, y=982, w=5, h=5
x=1204, y=981, w=9, h=9
x=456, y=976, w=7, h=5
x=442, y=976, w=3, h=4
x=442, y=976, w=3, h=4
x=180, y=976, w=18, h=10
x=104, y=976, w=12, h=9
x=104, y=979, w=3, h=4
x=84, y=976, w=13, h=7
x=45, y=976, w=15, h=11
x=8, y=976, w=9, h=12
x=1256, y=975, w=6, h=4
x=1212, y=975, w=5, h=4
x=1115, y=975, w=6, h=7
x=512, y=975, w=4, h=2
x=485, y=975, w=4, h=5
x=117, y=975, w=8, h=8
x=118, y=979, w=5, h=4
x=1260, y=974, w=11, h=9
x=1142, y=974, w=3, h=2
x=828, y=974, w=10, h=8
x=797, y=974, w=4, h=11
x=666, y=974, w=13, h=7
x=674, y=976, w=5, h=5
x=627, y=974, w=5, h=7
x=589, y=974, w=9, h=4
x=173, y=974, w=4, h=3
x=173, y=974, w=4, h=3
x=1295, y=973, w=8, h=8
x=1136, y=973, w=27, h=20
x=1107, y=973, w=7, h=6
x=1036, y=973, w=10, h=19
x=683, y=973, w=10, h=4
x=640, y=973, w=8, h=5
x=563, y=973, w=5, h=9
x=414, y=973, w=6, h=2
x=3, y=973, w=2, h=3
x=768, y=972, w=8, h=13
x=407, y=972, w=17, h=9
x=312, y=972, w=14, h=11
x=313, y=978, w=4, h=5
x=111, y=972, w=5, h=5
x=112, y=973, w=4, h=3
x=1, y=972, w=10, h=7
x=7, y=972, w=4, h=3
x=1274, y=971, w=17, h=15
x=900, y=971, w=3, h=5
x=900, y=971, w=3, h=3
x=865, y=971, w=5, h=7
x=680, y=971, w=6, h=3
x=603, y=971, w=9, h=5
x=425, y=971, w=18, h=9
x=375, y=971, w=8, h=6
x=346, y=971, w=6, h=9
x=292, y=971, w=14, h=7
x=295, y=974, w=4, h=3
x=293, y=971, w=11, h=4
x=186, y=971, w=5, h=1
x=1176, y=970, w=3, h=4
x=766, y=970, w=2, h=7
x=633, y=970, w=8, h=8
x=550, y=970, w=4, h=6
x=502, y=970, w=7, h=8
x=471, y=970, w=2, h=5
x=265, y=970, w=3, h=2
x=1422, y=969, w=12, h=8
x=1424, y=970, w=8, h=6
x=1405, y=969, w=12, h=8
x=1410, y=971, w=6, h=6
x=1106, y=969, w=4, h=3
x=846, y=969, w=11, h=12
x=597, y=969, w=1, h=1
x=592, y=969, w=2, h=3
x=567, y=969, w=10, h=7
x=437, y=969, w=13, h=2
x=327, y=969, w=6, h=10
x=328, y=969, w=5, h=10
x=1390, y=968, w=5, h=4
x=620, y=968, w=5, h=11
x=587, y=968, w=4, h=4
x=587, y=968, w=4, h=4
x=455, y=968, w=11, h=7
x=455, y=968, w=6, h=4
x=378, y=968, w=8, h=2
x=145, y=968, w=7, h=3
x=138, y=968, w=13, h=6
x=84, y=968, w=4, h=4
x=1398, y=967, w=10, h=10
x=1206, y=967, w=14, h=8
x=1209, y=971, w=3, h=3
x=1129, y=967, w=7, h=10
x=1130, y=970, w=5, h=6
x=1133, y=969, w=3, h=4
x=910, y=967, w=4, h=5
x=910, y=968, w=3, h=4
x=744, y=967, w=19, h=15
x=734, y=967, w=10, h=6
x=417, y=967, w=5, h=2
x=246, y=967, w=11, h=5
x=252, y=969, w=5, h=3
x=250, y=968, w=3, h=4
x=154, y=967, w=7, h=3
x=94, y=967, w=4, h=4
x=94, y=968, w=4, h=3
x=74, y=967, w=7, h=10
x=74, y=972, w=4, h=4
x=1308, y=966, w=18, h=12
x=1161, y=966, w=16, h=14
x=1164, y=969, w=3, h=3
x=1162, y=967, w=4, h=4
x=925, y=966, w=3, h=4
x=905, y=966, w=4, h=10
x=875, y=966, w=3, h=3
x=875, y=966, w=3, h=3
x=854, y=966, w=7, h=6
x=723, y=966, w=13, h=11
x=709, y=966, w=9, h=4
x=709, y=966, w=8, h=4
x=649, y=966, w=6, h=7
x=611, y=966, w=12, h=19
x=615, y=980, w=8, h=5
x=614, y=969, w=3, h=6
x=479, y=966, w=12, h=3
x=474, y=966, w=5, h=5
x=475, y=966, w=3, h=3
x=460, y=966, w=4, h=2
x=416, y=966, w=19, h=5
x=416, y=966, w=1, h=1
x=221, y=966, w=10, h=6
x=221, y=966, w=10, h=5
x=179, y=966, w=5, h=4
x=134, y=966, w=4, h=1
x=88, y=966, w=6, h=2
x=1293, y=965, w=6, h=5
x=1282, y=965, w=24, h=12
x=1173, y=965, w=18, h=8
x=1185, y=968, w=3, h=3
x=1184, y=966, w=7, h=5
x=945, y=965, w=5, h=6
x=945, y=966, w=4, h=4
x=786, y=965, w=11, h=5
x=786, y=966, w=3, h=3
x=636, y=965, w=4, h=5
x=614, y=965, w=1, h=2
x=370, y=965, w=1, h=1
x=341, y=965, w=5, h=4
x=41, y=965, w=3, h=3
x=1335, y=964, w=41, h=20
x=1340, y=979, w=6, h=5
x=1363, y=970, w=5, h=5
x=1350, y=964, w=16, h=15
x=1193, y=964, w=6, h=14
x=642, y=964, w=6, h=9
x=396, y=964, w=19, h=13
x=411, y=969, w=3, h=3
x=402, y=967, w=4, h=3
x=397, y=967, w=6, h=3
x=406, y=964, w=9, h=6
x=361, y=964, w=2, h=1
x=128, y=964, w=9, h=3
x=116, y=964, w=10, h=4
x=76, y=964, w=2, h=3
x=1091, y=963, w=26, h=32
x=1102, y=982, w=14, h=13
x=1107, y=987, w=1, h=2
x=1091, y=981, w=4, h=4
x=1094, y=974, w=7, h=9
x=972, y=963, w=6, h=11
x=972, y=966, w=5, h=7
x=918, y=963, w=7, h=5
x=887, y=963, w=6, h=4
x=888, y=963, w=3, h=3
x=819, y=963, w=6, h=12
x=720, y=963, w=10, h=4
x=670, y=963, w=26, h=10
x=686, y=967, w=10, h=6
x=683, y=966, w=4, h=4
x=670, y=966, w=10, h=6
x=657, y=963, w=12, h=11
x=657, y=968, w=9, h=5
x=661, y=966, w=3, h=4
x=659, y=963, w=4, h=5
x=599, y=963, w=3, h=8
x=599, y=963, w=3, h=4
x=556, y=963, w=6, h=5
x=558, y=964, w=4, h=3
x=556, y=964, w=3, h=3
x=557, y=963, w=3, h=3
x=520, y=963, w=20, h=11
x=508, y=963, w=4, h=2
x=465, y=963, w=6, h=4
x=467, y=964, w=4, h=3
x=428, y=963, w=1, h=3
x=424, y=963, w=4, h=6
x=380, y=963, w=14, h=5
x=36, y=963, w=12, h=17
x=1313, y=962, w=6, h=5
x=1049, y=962, w=4, h=3
x=1044, y=962, w=9, h=6
x=1012, y=962, w=9, h=8
x=688, y=962, w=6, h=5
x=688, y=963, w=3, h=4
x=638, y=962, w=6, h=3
x=639, y=962, w=3, h=3
x=625, y=962, w=1, h=5
x=618, y=962, w=6, h=2
x=614, y=962, w=3, h=2
x=604, y=962, w=3, h=2
x=476, y=962, w=11, h=4
x=358, y=962, w=14, h=7
x=289, y=962, w=10, h=7
x=1316, y=961, w=7, h=8
x=1093, y=961, w=6, h=9
x=1089, y=961, w=4, h=6
x=960, y=961, w=7, h=7
x=873, y=961, w=6, h=14
x=697, y=961, w=12, h=4
x=608, y=961, w=5, h=3
x=529, y=961, w=3, h=2
x=432, y=961, w=19, h=8
x=403, y=961, w=8, h=4
x=390, y=961, w=5, h=2
x=306, y=961, w=8, h=10
x=266, y=961, w=5, h=4
x=187, y=961, w=3, h=3
x=51, y=961, w=6, h=7
x=10, y=961, w=17, h=17
x=22, y=969, w=5, h=4
x=14, y=961, w=11, h=9
x=1198, y=960, w=4, h=6
x=1198, y=961, w=4, h=5
x=1168, y=960, w=8, h=14
x=1131, y=960, w=16, h=15
x=781, y=960, w=5, h=4
x=781, y=960, w=4, h=4
x=695, y=960, w=2, h=3
x=488, y=960, w=3, h=5
x=469, y=960, w=1, h=1
x=461, y=960, w=4, h=5
x=450, y=960, w=1, h=2
x=424, y=960, w=4, h=2
x=372, y=960, w=7, h=9
x=338, y=960, w=10, h=11
x=322, y=960, w=4, h=5
x=258, y=960, w=21, h=15
x=271, y=970, w=4, h=5
x=269, y=968, w=3, h=6
x=259, y=968, w=4, h=4
x=214, y=960, w=17, h=5
x=217, y=960, w=13, h=4
x=215, y=960, w=3, h=4
x=208, y=960, w=7, h=10
x=1347, y=959, w=11, h=5
x=1101, y=959, w=14, h=14
x=1106, y=960, w=6, h=8
x=1013, y=959, w=7, h=5
x=965, y=959, w=4, h=3
x=929, y=959, w=4, h=10
x=740, y=959, w=2, h=3
x=736, y=959, w=3, h=5
x=682, y=959, w=12, h=4
x=666, y=959, w=10, h=6
x=661, y=959, w=6, h=3
x=405, y=959, w=1, h=1
x=363, y=959, w=1, h=2
x=321, y=959, w=18, h=9
x=332, y=963, w=3, h=3
x=230, y=959, w=5, h=6
x=1335, y=958, w=11, h=10
x=1092, y=958, w=4, h=2
x=759, y=958, w=7, h=1
x=572, y=958, w=1, h=2
x=315, y=958, w=3, h=3
x=315, y=958, w=3, h=3
x=52, y=958, w=6, h=2
x=1398, y=957, w=5, h=7
x=1319, y=957, w=16, h=13
x=1222, y=957, w=3, h=4
x=728, y=957, w=5, h=7
x=559, y=957, w=3, h=2
x=319, y=957, w=3, h=2
x=180, y=957, w=9, h=4
x=1162, y=956, w=4, h=5
x=1149, y=956, w=5, h=6
x=1130, y=956, w=9, h=6
x=1062, y=956, w=28, h=22
x=1070, y=969, w=6, h=4
x=1079, y=967, w=6, h=7
x=1074, y=963, w=4, h=3
x=1034, y=956, w=4, h=5
x=1035, y=957, w=3, h=4
x=998, y=956, w=5, h=5
x=971, y=956, w=8, h=9
x=844, y=956, w=8, h=8
x=835, y=956, w=17, h=10
x=838, y=962, w=4, h=3
x=768, y=956, w=7, h=5
x=238, y=956, w=3, h=3
x=37, y=956, w=3, h=5
x=1278, y=955, w=13, h=10
x=1286, y=959, w=4, h=5
x=1211, y=955, w=3, h=4
x=1051, y=955, w=10, h=6
x=737, y=955, w=14, h=5
x=745, y=957, w=3, h=3
x=1098, y=954, w=6, h=8
x=948, y=954, w=4, h=4
x=949, y=954, w=3, h=4
x=926, y=954, w=7, h=5
x=912, y=954, w=6, h=10
x=891, y=954, w=7, h=7
x=708, y=954, w=10, h=6
x=697, y=954, w=11, h=3
x=702, y=954, w=3, h=3
x=424, y=954, w=4, h=2
x=88, y=954, w=12, h=5
x=64, y=954, w=6, h=8
x=1324, y=953, w=7, h=5
x=1141, y=953, w=4, h=3
x=1142, y=953, w=3, h=3
x=1100, y=953, w=7, h=8
x=906, y=953, w=5, h=2
x=798, y=953, w=1, h=1
x=452, y=953, w=15, h=3
x=31, y=953, w=11, h=5
x=5, y=953, w=13, h=6
x=5, y=954, w=13, h=5
x=1434, y=952, w=9, h=3
x=1254, y=952, w=20, h=7
x=1118, y=952, w=12, h=13
x=1121, y=954, w=7, h=6
x=1049, y=952, w=6, h=5
x=1001, y=952, w=3, h=4
